REGION,LEVEL,STATE,TYPE,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
NORTH CENTER,HIGH SCHOOL,NAYARIT,PUBLIC,37972,39959,40653,40805,43669,43899,42615,41776
NORTH CENTER,HIGH SCHOOL,NAYARIT,PRIVATE,7015,10057,8940,9374,10130,10708,10251,9951
NORTH CENTER,UNIVERSITY,NAYARIT,PUBLIC,24674,26045,26943,27052,28225,29238,29953,31290
NORTH CENTER,UNIVERSITY,NAYARIT,PRIVATE,2552,2537,2860,2902,3195,3367,3838,3501
NORTH,ELEMENTARY,NUEVO LEÓN,PUBLIC,507934,501029,489576,491503,493527,494678,500854,503290
NORTH,ELEMENTARY,NUEVO LEÓN,PRIVATE,69769,69695,68468,69793,72305,73640,76511,77678
NORTH,JR HIGH,NUEVO LEÓN,PUBLIC,227716,240898,259352,257446,248920,237102,236858,239950
NORTH,JR HIGH,NUEVO LEÓN,PRIVATE,27932,29331,31303,31611,31667,30319,31349,31749
NORTH,HIGH SCHOOL,NUEVO LEÓN,PUBLIC,105756,115508,122844,130089,135982,147464,143394,144139
NORTH,HIGH SCHOOL,NUEVO LEÓN,PRIVATE,53456,51922,50736,50760,52150,54814,52255,47200
NORTH,UNIVERSITY,NUEVO LEÓN,PUBLIC,92589,97915,102029,110205,117487,123382,138128,147061
NORTH,UNIVERSITY,NUEVO LEÓN,PRIVATE,60758,57422,56402,58809,60063,62083,77376,82025
SOUTH,ELEMENTARY,OAXACA,PUBLIC,537701,514036,514012,512943,509086,504627,478755,446932
SOUTH,ELEMENTARY,OAXACA,PRIVATE,16594,18599,18347,18131,20027,20789,19645,19272
SOUTH,JR HIGH,OAXACA,PUBLIC,218481,215435,223765,225005,222997,224505,221166,215231
SOUTH,JR HIGH,OAXACA,PRIVATE,6491,7630,7823,7771,8583,8721,8135,7958
SOUTH,HIGH SCHOOL,OAXACA,PUBLIC,130688,127805,132313,134956,140169,144466,139811,138528
SOUTH,HIGH SCHOOL,OAXACA,PRIVATE,9232,12336,12220,12574,12629,12952,12583,11898
SOUTH,UNIVERSITY,OAXACA,PUBLIC,43464,44085,46488,49251,49455,50129,56724,58612
SOUTH,UNIVERSITY,OAXACA,PRIVATE,12818,13181,13803,14603,15155,15436,17238,17044
CENTER,ELEMENTARY,PUEBLA,PUBLIC,772220,764815,747446,730893,720725,716446,713334,709140
CENTER,ELEMENTARY,PUEBLA,PRIVATE,69120,69270,68279,66308,65956,66198,69433,69362
CENTER,JR HIGH,PUEBLA,PUBLIC,311803,322369,342593,356253,357776,346055,330557,321502
